TrialID,ObsNum,Prediction,Indicator
0,0,1,Public
0,1,1,Public
0,2,1,Private
0,3,1,Private
0,4,1,Private
0,5,1,Private
0,6,1,Private
0,7,1,Public
0,8,1,Private
0,9,1,Private
0,10,1,Private
0,11,1,Private
0,12,1,Private
0,13,1,Private
0,14,1,Private
0,15,1,Private
0,16,1,Private
0,17,1,Public
0,18,1,Private
0,19,1,Private
0,20,1,Private
0,21,1,Private
0,22,1,Private
0,23,1,Private
0,24,1,Private
0,25,1,Private
0,26,1,Private
0,27,1,Public
0,28,1,Public
0,29,1,Private
0,30,1,Private
0,31,1,Public
0,32,1,Private
0,33,1,Private
0,34,1,Private
0,35,1,Private
0,36,1,Private
0,37,1,Private
0,38,1,Public
0,39,1,Private
0,40,1,Private
0,41,1,Private
0,42,1,Private
0,43,1,Public
0,44,1,Public
0,45,1,Private
0,46,1,Private
0,47,1,Private
0,48,1,Private
0,49,1,Private
0,50,1,Private
0,51,1,Private
0,52,1,Public
0,53,1,Private
0,54,1,Private
0,55,1,Private
0,56,1,Private
0,57,1,Private
0,58,1,Private
0,59,1,Private
0,60,1,Private
0,61,1,Private
0,62,1,Private
0,63,1,Private
0,64,1,Private
0,65,1,Private
0,66,1,Private
0,67,1,Private
0,68,1,Private
0,69,1,Private
0,70,1,Public
0,71,1,Public
0,72,1,Public
0,73,1,Private
0,74,1,Private
0,75,1,Private
0,76,1,Public
0,77,1,Public
0,78,1,Private
0,79,1,Private
0,80,1,Private
0,81,1,Public
0,82,1,Private
0,83,1,Private
0,84,1,Private
0,85,1,Public
0,86,1,Private
0,87,1,Public
0,88,1,Private
0,89,1,Private
0,90,1,Private
0,91,1,Private
0,92,1,Private
0,93,1,Private
0,94,1,Private
0,95,1,Private
0,96,1,Private
0,97,1,Public
0,98,1,Public
0,99,1,Private
0,100,1,Private
0,101,1,Private
0,102,1,Public
0,103,1,Public
0,104,1,Public
0,105,1,Private
0,106,1,Private
0,107,1,Private
0,108,1,Private
0,109,1,Private
0,110,1,Public
0,111,1,Private
0,112,1,Public
0,113,1,Private
